元の番号,分類番号,単語,和訳,分類語源,一つ目の語源,一つ目の語源の長さ,二つ目の語源,二つ目の語源の長さ,三つ目の語源,三つ目の語源の長さ,参考,参考の長さ,,,,,,,,,,,,
1,1,achromatic,無色の,a(無い),a(無い),5,khroma(色),9,,0,,0,,,,,,,,,,,,
2,1,amnesia,記憶喪失,a(無い),a(無い),5,mnasthai(思い出す),14,,0,,0,,,,,,,,,,,,
3,1,amnesty,恩赦,a(無い),a(無い),5,mnestis(記憶),11,,0,,0,,,,,,,,,,,,
4,1,anemia,貧血,a(無い),an(無い),6,haima(血液),9,,0,,0,,,,,,,,,,,,
5,1,anesthesia,麻酔,a(無い),an(無い),6,aisthesis(感覚),13,,0,,0,,,,,,,,,,,,
6,1,anonymous,匿名,a(無い),an(無い),6,onyma(名前),9,,0,,0,,,,,,,,,,,,
7,1,apathy,無気力,a(無い),a(無い),5,pathos(感情),10,,0,,0, lethargyです,,,,,,,,,,,
8,1,aphasia,失語症,a(無い),a(無い),5,phasis(発音),10,,0,,0,,,,,,,,,,,,
9,1,aphonia,失声症・緘黙,a(無い),a(無い),5,phone(音),8,,0,原義はギリシャ語のaphonia(言葉が出ない状態)です。,29,,,,,,,,,,,,
10,1,apolitical,政治的無関心,a(無い),a(無い),5,political(政治),13,,0,,0,,,,,,,,,,,,
11,1,atheism,無神論,a(無い),a(無い),5,theos(神),8,,0,,0,,,,,,,,,,,,
12,1,atom,原子,a(無い),a(無い),5,tomos(切る),9,,0,原義はラテン語のatomus(分割できない粒子)です。,27,,,,,,,,,,,,
13,1,,,a(無い),,0,,0,,0,,0,,,,,,,,,,,,
14,2,abdicate,退位する,ab(離れる),ab(離れる),7,dicere(宣言する),12,,0,原義はラテン語のabdicare(自分は所属しないと宣言する)です。,34,,,,,,,,,,,,
15,2,abduct,拉致する,ab(離れる),ab(離れる),7,ducere(導く),10,,0,原義はラテン語のabducere(連れて行く)です。,26,同義語はkidnapです,,,,,,,,,,,
16,2,abhor,嫌う,ab(離れる),ab(離れる),7,horrere(震える),12,,0,原義はラテン語のabhorrere(尻込みする)です。,27,同義語はhate, loathe, can’t stand, despiseです,,,,,,,,
17,2,abnormal,異常な,ab(離れる),ab(離れる),7,norma(規則),9,,0,,0, strange, uncommon, extraordinaryです,,,,,,,,,
18,2,abolish,廃止する,ab(離れる),ab(離れる),7,adolere(増える),12,,0,原義はabolere(消し去る)です。,19,同義語はdo away with, repeal, put an end toです,,,,,,,,,
19,2,aborigine,アボリジニ,ab(離れる),ab(離れる),7,oriri(生まれる),11,,0,原義はラテン語のaborigines(先住民)です。,26,,,,,,,,,,,,
20,2,abortion,中絶,ab(離れる),ab(間違った),8,oriri(生まれる),11,,0,原義はラテン語のaboriri(流産する)です。,24,同義語はmiscarriage, terminationです,,,,,,,,,,
21,2,abrasive,研磨剤,ab(離れる),ab(離れる),7,radere(こする),11,,0,,0,,,,,,,,,,,,
22,2,abrogate,廃止する,ab(離れる),ab(離れる),7,rogare(頼むこと),12,,0,原義はラテン語のabrogare(無効にする)です。,26,同義語はabolish, repealです,,,,,,,,,,
23,2,abrupt,突然の、ぞんざいな,ab(離れる),ab(離れる),7,rumpere(壊れる),12,,0,原義はラテン語のabrumpere(引きちぎる)です。,27,同義語はsudden, unexpectedです,,,,,,,,,,
24,2,abscond,脱走する,ab(離れる),ab(離れる),7,condere(まとめる),13,,0,原義はラテン語のabscondere(隠れる)です。,26,同義語はescape, run away, fleeです,,,,,,,,,
25,2,absent,欠席,ab(離れる),ab(離れる),7,esse(存在する),10,,0,原義はラテン語のabesse(離れている)です。,24,同義語はbe away, stay away, be not here (or there)です,,,,,,,,,
26,2,absolute,完璧、絶対,ab(離れる),ab(離れる),7,solvere(緩める),12,,0,原義はabsolvere(自由にする)です。,22,同義語はcomplete, pure, totalです,,,,,,,,,
